Scheme,Frenemies,,,
Version,1.1.1,,,
URI,urn:oid:5.6.7.8,,,
CopyRight,"""Right Copy""",,,
Author,John Smith,,,
,,,,
Entities,,,,
Id,001,,,
Property,Presentation,Batman,preferred,
Property,Comment,Hero,,
qualifier,Sidekick,Robin,,
Property,History,Parents deceased,,
Id,002,,,
Property,Presentation,Superman,preferred,
qualifier,alternateName,Kal El,,
Property,Comment,superhero,,
qualifier,weakness,kryptonite,,
Property,Alias,Clark Kent,,
qualifier,identity,reporter,,
Id,006,,,
Property,Presentation,Flash,preferred,
Property,Comment,superhero,,
Property,power,fast,,
Id,555,,,
Property,Presentation,Green Lantern,preferred,
Property,Comment,superhero,,
Property,power,magic ring,,
Id,777,,,
Property,Presentation,Robin,preferred,
Property,Comment,Sidekick,,
Id,220,,,
Property,Presentation,The Joker,preferred,
Property,Comment,Bad guy,,
Property,focus,crime,,
Id,A15,,,
Property,Presentation,Lex Luthor,preferred,
Property,Comment,Evil Genius,,
Property,focus,world domination,,
Id,Z41,,,
Property,Presentation,Justice League,preferred,
Property,Comment,Good guy club,,
Id,N57,,,
Property,Presentation,Spectre,preferred,
Property,Comment,Bad guys club,,
Associations,,,,
assocId,23,001,memberOf,Z41
restriction,current,,,
assocId,65,002,memberOf,Z41
restriction,current,,,
assocId,54,006,memberOf,Z41
restriction,current,,,
assocId,96,555,memberOf,Z41
restriction,current,,,
assocId,21,220,memberOf,N57
restriction,current,,,
assocId,38,A15,memberOf,N57
restriction,lapsed,,,
assocId,42,777,sideKickOf,001
assocId,55,777 ,memberOf,Z41
restriction,current,,,
restriction ,junior member,,,
assocId,74,220,enemyOf,001
assocId,12,220,enemyOf,777
assocId,15,A15,enemyOf,002
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
